 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 2.    Time:  10: 3:25
 Units: L = cm   , T = sec  , M = g    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     F     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   2     -0.020      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   3     -0.040      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   4     -0.060      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   5     -0.080      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   6     -0.100      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   7     -0.120      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   8     -0.140      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
   9     -0.160      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  10     -0.180      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  11     -0.200      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  12     -0.220      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  13     -0.240      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  14     -0.260      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  15     -0.280      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  16     -0.300      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  17     -0.320      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  18     -0.340      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  19     -0.360      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  20     -0.380      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  21     -0.400      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  22     -0.420      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  23     -0.440      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  24     -0.460      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  25     -0.480      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  26     -0.500      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  27     -0.520      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  28     -0.540      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  29     -0.560      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  30     -0.580      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  31     -0.600      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  32     -0.620      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  33     -0.640      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
  34     -0.660      0.580    1    1   0.000    1.000    1.000    1.000   18.30  0.4000E-02
